Code,Name,Type,DrainArea,SubBasin,City,State,Responsib,Operator,Latitude,Longitude,Altitude,River,StartDate,EndDate,Status,Origem,IsStudy
60190000,PCH NOVA AURORA MONTANTE,1,1648.0,60,IPAMERI,GOIÁS,GOIAS SUL,GOIAS SUL,-17.9211,-48.0308,637.0,RIO VERÍSSIMO,2012-10-01,,Ativo,Setor Elétrico,0
60191000,PCH NOVA AURORA RIO DO BRAÇO,1,978.0,60,IPAMERI,GOIÁS,GOIAS SUL,GOIAS SUL,-17.9092,-48.0831,634.0,RIO DO BRAÇO,2012-10-01,,Ativo,Setor Elétrico,0
60199000,UHE ITUMBIARA RIO VERÍSSIMO,1,,60,IPAMERI,GOIÁS,FURNAS,FURNAS,-17.9525,-48.1539,610.0,RIO VERÍSSIMO,2016-05-01,,Ativo,Setor Elétrico,0
60200500,PCH NOVA AURORA BARRAMENTO,1,3556.0,60,GOIANDIRA,GOIÁS,GOIAS SUL,GOIAS SUL,-18.0617,-48.2094,607.0,RIO VERÍSSIMO,2012-10-01,,Ativo,Setor Elétrico,0
60200600,PCH NOVA AURORA JUSANTE,1,3760.0,60,GOIANDIRA,GOIÁS,GOIAS SUL,GOIAS SUL,-18.0708,-48.2106,594.0,RIO VERÍSSIMO,2012-10-01,,Ativo,Setor Elétrico,0
60202000,PCH GOIANDIRA BARRAMENTO,1,3818.0,60,GOIANDIRA,GOIÁS,GOIAS SUL,GOIAS SUL,-18.1436,-48.2703,574.0,RIO VERÍSSIMO,2012-10-01,,Ativo,Setor Elétrico,0
60203000,PCH GOIANDIRA JUSANTE,1,4092.0,60,GOIANDIRA,GOIÁS,GOIAS SUL,GOIAS SUL,-18.1472,-48.2758,547.0,RIO VERÍSSIMO,2012-10-01,,Ativo,Setor Elétrico,0
60229000,CGH CACHOEIRA DOS MACACOS MONTANTE,1,3030.0,60,PERDIZES,MINAS GERAIS,CSN,CSN,-19.6553,-47.4497,882.0,RIO ARAGUARI,2007-09-01,,Ativo,Setor Elétrico,0
60229470,CGH CACHOEIRA DOS MACACOS BARRAMENTO,1,3230.0,60,PERDIZES,MINAS GERAIS,CSN,CSN,-19.6089,-47.4556,864.0,RIO ARAGUARI,2014-12-01,,Ativo,Setor Elétrico,0
60229500,CGH CACHOEIRA DOS MACACOS JUSANTE,1,3230.0,60,PERDIZES,MINAS GERAIS,CSN,CSN,-19.6061,-47.455,,RIO ARAGUARI,2007-09-01,,Ativo,Setor Elétrico,0
60229800,PCH PAI JOAQUIM MONTANTE,1,3373.85,60,SANTA JULIANA,MINAS GERAIS,CEMIG PCH,CEMIG PCH,-19.5164,-47.4983,843.0,RIO ARAGUARI,2019-10-01,,Ativo,Setor Elétrico,0
