Name,Code,Type,DrainArea,SubBasin,City,State,Responsib,Latitude,Longitude,StartDate,EndDate,NYD,MD,N_YWOMD,YWMD,QScore,QLabel,IsStudy
VOLTA REDONDA,58305001,1,16000.0,58,VOLTA REDONDA,RIO DE JANEIRO,ANA,-22.5019,-44.0911,1940-11-01,2019-12-31,80,12.2,66,17.5,0.8568,Excelente,0
VARGEM ALEGRE,58315100,1,16400.0,58,BARRA DO PIRAÍ,RIO DE JANEIRO,ANA,-22.4983,-43.93,2005-09-26,2019-12-31,15,5.7,3,80.0,0.5833,Moderada,0
BARRA DO PIRAÍ,58321000,1,19800.0,58,BARRA DO PIRAÍ,RIO DE JANEIRO,ANA,-22.4506,-43.7978,1922-01-01,1995-12-11,74,8.1,67,9.5,0.7514,Excelente,0
FAZENDA SANTANA,58338000,1,134.0,58,RIO CLARO,RIO DE JANEIRO,ANA,-22.785,-44.2028,1951-10-14,1961-12-31,11,0.0,10,9.1,0.4375,Limitada,0
PARAÍBA DO SUL,58380001,1,21400.0,58,PARAÍBA DO SUL,RIO DE JANEIRO,ANA,-22.1628,-43.2864,1972-10-28,2019-12-31,48,0.2,44,8.3,0.9288,Excelente,0
PETRÓPOLIS,58400000,1,43.1,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.5167,-43.1833,1938-08-01,1987-08-19,50,38.1,26,48.0,0.5714,Moderada,0
PEDRO DO RIO,58405000,1,435.0,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.3319,-43.1317,1931-12-01,2019-12-31,89,0.4,85,4.5,0.9276,Excelente,0
AREAL - RN,58409000,1,514.0,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.2339,-43.1008,1933-07-01,1975-12-31,43,48.4,18,58.1,0.5096,Moderada,0
FAZENDA SOBRADINHO,58420000,1,719.0,58,TERESÓPOLIS,RIO DE JANEIRO,ANA,-22.1994,-42.8969,1935-11-25,2019-11-30,85,0.1,80,5.9,0.9294,Excelente,0
MORELI (PARADA MORELI),58425000,1,930.0,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.1925,-43.0075,1947-09-25,2019-12-31,73,0.0,71,2.7,0.93,Excelente,0
TRISTÃO CÂMARA,58427000,1,1030.0,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.2167,-43.05,1930-09-27,1941-06-30,12,3.9,7,41.7,0.4266,Limitada,0
FAGUNDES,58434000,1,275.0,58,PETRÓPOLIS,RIO DE JANEIRO,ANA,-22.2997,-43.1781,1936-09-08,2019-12-31,84,2.7,74,11.9,0.9138,Excelente,0
CHAPEU D'UVAS,58470000,1,360.0,58,JUIZ DE FORA,MINAS GERAIS,ANA,-21.5939,-43.5047,1949-09-01,2019-12-31,71,0.6,67,5.6,0.9264,Excelente,0
JUIZ DE FORA,58480000,1,956.0,58,JUIZ DE FORA,MINAS GERAIS,ANA,-21.75,-43.3333,1932-01-01,1975-12-31,44,19.6,31,29.5,0.6824,Moderada,0
JUIZ DE FORA - JUSANTE,58480500,1,969.0,58,JUIZ DE FORA,MINAS GERAIS,ANA,-21.7783,-43.3253,1975-09-23,2019-12-31,45,0.0,43,4.4,0.93,Excelente,0
MATIAS BARBOSA,58491000,1,1210.0,58,MATIAS BARBOSA,MINAS GERAIS,ANA,-21.8714,-43.3242,2009-10-31,2018-11-26,10,6.9,5,50.0,0.5036,Moderada,0
USINA BRUMADO,58500000,1,144.0,58,LIMA DUARTE,MINAS GERAIS,ANA,-21.8547,-43.885,1942-02-05,2019-03-22,78,0.6,75,3.8,0.9264,Excelente,0
TORREÕES,58512000,1,1720.0,58,JUIZ DE FORA,MINAS GERAIS,ANA,-21.8692,-43.5556,1931-09-09,2005-05-22,75,23.4,51,32.0,0.6596,Moderada,0
FAZENDA SÃO JOSÉ,58516000,1,2340.0,58,BELMIRO BRAGA,MINAS GERAIS,ANA,-21.9,-43.3667,1931-01-01,1975-09-25,45,1.7,40,11.1,0.7898,Excelente,0
FAZENDA SANTO ANTÔNIO,58516500,1,2240.0,58,JUIZ DE FORA,MINAS GERAIS,ANA,-21.8592,-43.4439,1976-05-13,2019-12-31,44,0.2,40,9.1,0.9288,Excelente,0
COTEJIPE,58519000,1,3610.0,58,SIMÃO PEREIRA,MINAS GERAIS,ANA,-21.9167,-43.35,1930-06-27,1942-11-30,13,0.0,11,15.4,0.4625,Limitada,0
SOBRAJI,58520000,1,3640.0,58,BELMIRO BRAGA,MINAS GERAIS,ANA,-21.9667,-43.3744,1952-06-01,2019-12-31,68,0.7,66,2.9,0.9258,Excelente,0
VISCONDE DE MAUÁ,58525000,1,103.0,58,RESENDE,RIO DE JANEIRO,ANA,-22.33,-44.5389,1945-04-01,2019-12-31,75,0.3,71,5.3,0.9282,Excelente,0
PONTE DO SOUZA,58530000,1,284.0,58,RESENDE,RIO DE JANEIRO,ANA,-22.2708,-44.39,1936-05-03,2019-12-31,84,0.0,82,2.4,0.93,Excelente,0
ZELINDA,58535000,1,418.0,58,PASSA VINTE,MINAS GERAIS,ANA,-22.2442,-44.265,1925-04-01,2019-11-30,95,1.2,90,5.3,0.9228,Excelente,0
SANTA RITA DO JACUTINGA,58542000,1,355.0,58,SANTA RITA DO JACUT,MINAS GERAIS,ANA,-22.1519,-44.0906,1935-06-03,2018-10-31,84,0.2,81,3.6,0.9188,Excelente,0
PARAPEUNA,58550000,1,1740.0,58,RIO PRETO,MINAS GERAIS,ANA,-22.0833,-43.8333,1934-01-01,1972-07-31,39,0.2,37,5.1,0.7863,Excelente,0
RIO PRETO,58550001,1,1800.0,58,RIO PRETO,MINAS GERAIS,ANA,-22.0861,-43.82,1932-09-01,2019-12-31,88,0.2,86,2.3,0.9288,Excelente,0
VALENÇA,58560000,1,173.0,58,VALENÇA,RIO DE JANEIRO,ANA,-22.2244,-43.7103,1944-06-24,2019-05-07,76,0.0,74,2.6,0.93,Excelente,0
PENTAGNA,58573000,1,256.0,58,VALENÇA,RIO DE JANEIRO,ANA,-22.1569,-43.7525,1968-01-01,2018-09-30,51,0.2,48,5.9,0.9188,Excelente,0
TRAVESSÃO DO MEIO,58578000,1,635.0,58,VALENÇA,RIO DE JANEIRO,ANA,-22.1139,-43.5992,1968-01-01,1979-01-31,12,0.8,10,16.7,0.4452,Limitada,0
